label	utterance
5.2.Quarantine_visits	Can my friends visit me?
5.2.Quarantine_visits	Can someone come see me during quarantine?
5.2.Quarantine_visits	Is anyone allowed to visit during quarantine?
5.2.Quarantine_visits	What is a safe distance when someone brings me groceries?
5.2.Quarantine_visits	Are quarantined visits allowed?
5.2.Quarantine_visits	Can I receive visits during quarantine?
Outside_Activities	are the local parks open?
Outside_Activities	am I safe outside?
Outside_Activities	What parks are open?
Outside_Activities	can i go to park
Outside_Activities	Can I go to the gym or should I avoid it?
Outside_Activities	is it dangerous to go outside?
Outside_Activities	Will the parks and bike trails remain open?
Outside_Activities	can i go outside?
Outside_Activities	can i go outside
Outside_Activities	when can I go outside
Outside_Activities	is it safe to go outside?
Outside_Activities	What city parks are open?
Outside_Activities	Can I go for a run outside?
Outside_Activities	Are the national parks closed?
8.2globalcovid_pandemic	How is a pandemic different from an epidemic?
8.2globalcovid_pandemic	What is a pandemic?
8.2globalcovid_pandemic	What does a pandemic mean?
8.2globalcovid_pandemic	The WHO has declared a pandemic in the world. What does this mean?
13.1.About_Anezka_WhoAreYou	what can I ask you
13.1.About_Anezka_WhoAreYou	what can you do
13.1.About_Anezka_WhoAreYou	are you a robot?
13.1.About_Anezka_WhoAreYou	who you are?
13.1.About_Anezka_WhoAreYou	who are you
13.1.About_Anezka_WhoAreYou	who am I talking to
13.1.About_Anezka_WhoAreYou	what can you help me with
13.1.About_Anezka_WhoAreYou	Hello are you a living person?
5.3.Quarantine_living_alone	Am I allowed to go to my garden in quarantine?
5.3.Quarantine_living_alone	Can I go shopping when I'm in quarantine?
5.3.Quarantine_living_alone	Can I order food while in quarantine?
5.3.Quarantine_living_alone	"If I am in quarantine, can I go for walks?"
5.3.Quarantine_living_alone	What if I live alone and can't go out to buy food?
5.3.Quarantine_living_alone	What if I live by myself and I'm in quarantine?
5.3.Quarantine_living_alone	What should I do if I live by myself and I'm in quarantine?
general_ThankYou	thanks
general_ThankYou	Thank you
1.6.aboutVirus_PostalServices	Is it possible to get infected with coronavirus if I have my goods shipped from Chinese stores?
1.6.aboutVirus_PostalServices	Can I get infected if I receive a package
1.6.aboutVirus_PostalServices	Can I get infected through a package from China
1.6.aboutVirus_PostalServices	Does covid spread by packages?
1.6.aboutVirus_PostalServices	is it dangerous for postal workers
Go_Hospital_See_Doctor	"I'm coughing, should I go to the doctor?"
Go_Hospital_See_Doctor	i have a fever. should i go to the hospital?
Go_Hospital_See_Doctor	"I have a cough but am breathing fine, should I go to the hospital or wait?"
Go_Hospital_See_Doctor	I am coughing.  Should I call my doctor?
Go_Hospital_See_Doctor	how do i know whether to go to the doctor?
Go_Hospital_See_Doctor	Do I have to go to the hospital if I get COVID
